"","lat","lon","percentage"
"1","14.6","121.05",59.22
"2","14.61","120.99",42.05
"3","18.06","120.69",44.48
"4","18.1","120.7",27.04
"5","18.18","120.53",19.42
"6","18.18","120.59",75.89
"7","18.19","120.59",33.03
"8","18.19","120.6",41.62
"9","18.2","120.59",51.66
"10","18.2","120.6",66.95
"11","18.21","120.6",46.15
"12","18.22","120.6",21.1
"13","45.49","-122.79",40.94
"14","45.51","-122.83",47.01
"15","45.52","-122.68",32.84
"16","45.54","-122.24",31.53
"17","45.58","-122.12",35.98
"18","47.46","-122.26",43.07
"19","47.52","-122.27",22.27
"20","47.54","-122.28",36.2
"21","47.55","-122.31",24.69
"22","47.55","-122.32",34.74
"23","47.56","-122.31",58.01
"24","47.56","-122.32",87.74
"25","47.56","-122.33",37.8
"26","47.57","-122.31",80.59
"27","47.58","-122.3",20.43
"28","47.58","-122.31",65.81
"29","47.58","-122.33",37.92
"30","47.59","-122.33",42.65
"31","47.6","-122.33",65.37
"32","47.61","-122.33",69.69
"33","47.61","-122.34",64.52
"34","47.62","-122.2",61.05
"35","47.63","-122.35",32.58
"36","47.66","-122.31",84.11
