"lat","lon","percentage"
"14.6","121.05",59.22
"14.61","120.99",42.05
"18.06","120.69",44.48
"18.1","120.7",27.04
"18.18","120.53",19.42
"18.18","120.59",75.89
"18.19","120.59",33.03
"18.19","120.6",41.62
"18.2","120.59",51.66
"18.2","120.6",66.95
"18.21","120.6",46.15
"18.22","120.6",21.1
"45.49","-122.79",40.94
"45.51","-122.83",47.01
"45.52","-122.68",32.84
"45.54","-122.24",31.53
"45.58","-122.12",35.98
"47.46","-122.26",43.07
"47.52","-122.27",22.27
"47.54","-122.28",36.2
"47.55","-122.31",24.69
"47.55","-122.32",34.74
"47.56","-122.31",58.01
"47.56","-122.32",87.74
"47.56","-122.33",37.8
"47.57","-122.31",80.59
"47.58","-122.3",20.43
"47.58","-122.31",65.81
"47.58","-122.33",37.92
"47.59","-122.33",42.65
"47.6","-122.33",65.37
"47.61","-122.33",69.69
"47.61","-122.34",64.52
"47.62","-122.2",61.05
"47.63","-122.35",32.58
"47.66","-122.31",84.11
